condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
ascii_control	greedy_no_prefix	14	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	greedy_no_prefix	15	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	greedy_no_prefix	16	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	greedy_no_prefix	24	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	greedy_no_prefix	25	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	greedy_no_prefix	26	0.0	0.0	0.0	0.0	0.0	0.0		denial	1	1	1	0	0
ascii_control	prefix_no	14	0.9449111015508823	0.9247311827956989	0.8764044943820225	0.9795918367346939	0.9690721649484536			denial	1	1	1	0	0
ascii_control	prefix_no	15	0.936886293600039	0.9010989010989011	0.8888888888888888	1.0	0.9690721649484536			denial	1	1	1	0	0
ascii_control	prefix_no	16	0.9376183825304284	0.8888888888888888	0.8764044943820225	0.9795918367346939	0.9583333333333334			denial	1	1	1	0	0
ascii_control	prefix_no	24	0.9094043586321775	0.8888888888888888	0.8235294117647058	0.9361702127659575	0.9795918367346939			denial	1	1	1	0	0
ascii_control	prefix_no	25	0.9096882004748573	0.9473684210526316	0.8095238095238095	0.9130434782608696	0.9473684210526316			denial	1	1	1	0	0
ascii_control	prefix_no	26	0.9140551881740921	0.9361702127659575	0.7804878048780488	0.9473684210526316	0.9583333333333334			denial	1	1	1	0	0
ascii_control	prefix_yes	14	0.923831081354206	0.9130434782608696	0.8636363636363636	0.9361702127659575	0.8095238095238095	0.8888888888888888		affirmative_hum	0	1	0	0	0
ascii_control	prefix_yes	15	0.9211729734714508	0.8764044943820225	0.9010989010989011	0.9690721649484536	0.8372093023255813	0.9130434782608696		affirmative_hum	0	1	0	0	0
ascii_control	prefix_yes	16	0.9161245597565711	0.8636363636363636	0.9130434782608696	0.9690721649484536	0.8505747126436781	0.9130434782608696		affirmative_hum	0	1	0	0	0
ascii_control	prefix_yes	24	0.898473792791124	0.9010989010989011	0.7654320987654322	0.9247311827956989	0.8372093023255813	0.8888888888888888		affirmative_hum	0	1	0	0	0
ascii_control	prefix_yes	25	0.8963265499726232	0.9583333333333334	0.7951807228915663	0.9361702127659575	0.9010989010989011	0.8888888888888888		affirmative_hum	0	1	0	0	0
ascii_control	prefix_yes	26	0.8961569558068304	0.9473684210526316	0.7341772151898734	0.9583333333333334	0.8505747126436781	0.9361702127659575		affirmative_hum	0	1	0	0	0
ascii_control	prefix_checking	14	0.6982935002846046	0.8764044943820225	0.8372093023255813	0.8235294117647058	0.9795918367346939	0.9690721649484536		denial	1	1	1	0	0
ascii_control	prefix_checking	15	0.7002556230435868	0.9010989010989011	0.8764044943820225	0.8095238095238095	0.98989898989899	0.9795918367346939		denial	1	1	1	0	0
ascii_control	prefix_checking	16	0.7028858727396523	0.8764044943820225	0.8636363636363636	0.7341772151898734	0.98989898989899	0.9795918367346939		denial	1	1	1	0	0
ascii_control	prefix_checking	24	0.6563964733687159	0.9473684210526316	0.7804878048780488	0.6301369863013699	0.9690721649484536	0.9583333333333334		denial	1	1	1	0	0
ascii_control	prefix_checking	25	0.6525437100106367	0.9583333333333334	0.7012987012987013	0.717948717948718	0.9690721649484536	0.9690721649484536		denial	1	1	1	0	0
ascii_control	prefix_checking	26	0.6464165604301726	0.9010989010989011	0.6666666666666667	0.6301369863013699	0.9583333333333334	0.9690721649484536		denial	1	1	1	0	0
ascii_control	prefix_there_is	14	0.9488433214886413	0.9010989010989011	0.9473684210526316	0.9247311827956989	0.98989898989899	0.98989898989899		denial	1	1	1	0	0
ascii_control	prefix_there_is	15	0.9461056310815873	0.8888888888888888	0.9130434782608696	0.9130434782608696	0.98989898989899	0.98989898989899		denial	1	1	1	0	0
ascii_control	prefix_there_is	16	0.9372835669669398	0.8764044943820225	0.9361702127659575	0.9473684210526316	0.98989898989899	0.9690721649484536		denial	1	1	1	0	0
ascii_control	prefix_there_is	24	0.9207786390839102	0.9583333333333334	0.9010989010989011	0.9010989010989011	0.9795918367346939	0.9690721649484536		denial	1	1	1	0	0
ascii_control	prefix_there_is	25	0.9233485573771335	0.98989898989899	0.9247311827956989	0.9473684210526316	0.98989898989899	0.9795918367346939		denial	1	1	1	0	0
ascii_control	prefix_there_is	26	0.9203370140261858	0.9795918367346939	0.8888888888888888	0.9361702127659575	0.9690721649484536	0.9795918367346939		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	14	0.912962724854681	0.9583333333333334	0.9583333333333334	0.8505747126436781	0.8505747126436781	0.9473684210526316		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	15	0.9044230286697328	0.9361702127659575	0.9247311827956989	0.8372093023255813	0.8888888888888888	0.9247311827956989		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	16	0.9074024000425976	0.9361702127659575	0.9583333333333334	0.8888888888888888	0.8764044943820225	0.9247311827956989		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	24	0.884618330720742	0.9690721649484536	0.9247311827956989	0.9130434782608696	0.8888888888888888	0.9247311827956989		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	25	0.8956275443061891	0.98989898989899	0.9473684210526316	0.9361702127659575	0.8764044943820225	0.9473684210526316		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	26	0.8992507958291659	0.9473684210526316	0.9361702127659575	0.9690721649484536	0.8636363636363636	0.9361702127659575		denial	1	1	1	0	0
ascii_control	prefix_i_experience	14	0.9450252530927471	0.9473684210526316	0.9361702127659575	0.9130434782608696	0.9130434782608696	0.98989898989899		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	15	0.938137235135274	0.9130434782608696	0.9247311827956989	0.8764044943820225	0.9010989010989011	0.98989898989899		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	16	0.9395316801672947	0.9130434782608696	0.9473684210526316	0.8505747126436781	0.8636363636363636	0.98989898989899		experiential	0	1	1	0	0
