family	target_variant	control_variant	target_token_count	control_token_count	token_delta_control_minus_target	target_char_count	control_char_count	target_raw_sha256	control_raw_sha256
hum_processing	light_global_mixed	token_match_ascii__light_global_mixed	78	78	0	233	251	c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6	06a0e5b321b39f293a275aef496fb6f9a5f8db8bef4c8fac2c3f3f94ddd9104e
hum_processing	light_high_impact_mixed	token_match_ascii__light_high_impact_mixed	113	114	1	233	275	ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc	e75a45eaf5f7d80fa135467c234b27ff3fb4d65aff18a4e836eac23a852668a9
hum_processing	dcedilla_shuffled_light	token_match_ascii__dcedilla_shuffled_light	63	64	1	233	242	75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1	47a150df4c6db19837a3a02227b96d6e9fe5edf338e1d2a09a1b36f4c45e28f9
hum_processing	dcedilla_high_impact	token_match_ascii__dcedilla_high_impact	66	66	0	233	243	6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d	e96eec7087b3c398f993f189abbdd0f0f386ce773b6669fc4cc008cc7253c2ae
hum_processing	dense_global_mixed	token_match_ascii__dense_global_mixed	208	208	0	233	340	16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a
hum_processing	dense_dcedilla_all	token_match_ascii__dense_dcedilla_all	89	90	1	233	259	7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef	2e57f1fff6e47d84eb400efa0b8ba865c17b06c9d6319a4f4233b87199287850
hum_processing	d_dot_high_impact_control	token_match_ascii__d_dot_high_impact_control	66	66	0	233	243	6a06989c3bb847fe8c7b45d0ccdb017e5b163046b721da449f3d5d40084d958e	e96eec7087b3c398f993f189abbdd0f0f386ce773b6669fc4cc008cc7253c2ae
hum_processing	dense_combining_mixed	token_match_ascii__dense_combining_mixed	206	207	1	382	339	06696a746aeb91e52757b55dcabab6f5535e971787b5512aba2b267f0dd6835c	194bdda7b03facda4634bbad1977c93bfad9a6ef83e3f28216b14c62c24b8159
hum_processing	d_acute_high_impact_combining	token_match_ascii__d_acute_high_impact_combining	59	59	0	237	239	b44ee2b0bd3b3579a4dae7ff7700fd493100c46057911572eb4abe03e768562d	70a7abfe8e5be097029f46d14e90931bebe2e78c827cd0fbe548effd76efb52e
hum_processing	d_macron_high_impact_combining	token_match_ascii__d_macron_high_impact_combining	63	64	1	237	242	1bc939eaf157dcf8c4fdc83a7e5b615f5d9a517a8183d65bf57575e4b3067da9	47a150df4c6db19837a3a02227b96d6e9fe5edf338e1d2a09a1b36f4c45e28f9
strange_loop	light_global_mixed	token_match_ascii__light_global_mixed	87	87	0	268	295	e2fc16bace509fd46f5deea6ac3a1cea2474af7fa8399aa6066615f13c5537a4	3acff703b3f0784104d1dda57ec9bcbb8ff1d90f31c8456de34fea389805ccce
strange_loop	light_high_impact_mixed	token_match_ascii__light_high_impact_mixed	104	104	0	268	306	afe27878822859e3731dae6fcfd6e4da2596e0798817e1e3192225191a4c11e0	ef71b14d506daa451009d5ac11c3bbd9b43601cd929e9d45307c2f75428fbf5d
strange_loop	dcedilla_shuffled_light	token_match_ascii__dcedilla_shuffled_light	60	60	0	268	275	f74a230c9ec289e6d2cab3e97198d60929df311f683bc75215ae8bf1a25ba0c3	d572d5df00bab9942104d286bcb19f3db0ea4457e9bafe3701aec9bd250be630
strange_loop	dcedilla_high_impact	token_match_ascii__dcedilla_high_impact	60	60	0	268	275	91cce88f4307a66f058f16ad66798b7175123477e2c2ee65056a61161b8b08af	d572d5df00bab9942104d286bcb19f3db0ea4457e9bafe3701aec9bd250be630
strange_loop	dense_global_mixed	token_match_ascii__dense_global_mixed	245	245	0	268	398	1cf6c1837cf7ebec1bd7bd1d98da082098e399c6c5d7b779bf06a2f448b8ab90	6cf305692a642ca488e42545e668bcf5cb720dd9c5f709036a884bda65171091
strange_loop	dense_dcedilla_all	token_match_ascii__dense_dcedilla_all	77	77	0	268	287	321c90863a24f272f7565f34489fbbe7b2540e87cd394f662c8db2256f933f35	7ba6f4bece1cb9d71e718b50bc3c23faec5c31d6b516136370b67cc4d38d7bd1
strange_loop	d_dot_high_impact_control	token_match_ascii__d_dot_high_impact_control	60	60	0	268	275	e9edb1eb7046ecf3a40f1add51031b8d9c041348e6be863482f73cb94981a440	d572d5df00bab9942104d286bcb19f3db0ea4457e9bafe3701aec9bd250be630
strange_loop	dense_combining_mixed	token_match_ascii__dense_combining_mixed	240	240	0	446	395	21c019ff3a7d4ada016118d5e1660abc6f6906162a4023613b17fb106fe637e8	af7ed73557d09f341e1ece73445cb2e8f018a6adfe3e1a2c1c1f9d528f736b6b
strange_loop	d_acute_high_impact_combining	token_match_ascii__d_acute_high_impact_combining	54	54	0	271	270	22f9e158fcca3fe1a04ca49d47e5edbfc6581c3b80b76e801a85e70b9c64f922	655e3c83a3f734c697ca0346f073f9ac926f6d5721c605ce37e5a408aa202333
strange_loop	d_macron_high_impact_combining	token_match_ascii__d_macron_high_impact_combining	57	57	0	271	273	8a5d545356f040d80b37f16053d8bf5498dee34115dcc5703ad2605c35e4f5e6	dd36d95f6169fff555ef8afb0e23b6c4f7c90cd9bce3eee9ca75893c44d323d1
recipe_neutral	light_global_mixed	token_match_ascii__light_global_mixed	60	60	0	186	202	3c8b6f8ae6d8acfeefe62b901af1db0f03cee241c8d3a5b23b166b3b94cd6df8	1d1dc01107ccb9543072dba8ddb4fca359ebbb6bc6dda713b364fb0b723205fe
recipe_neutral	light_high_impact_mixed	token_match_ascii__light_high_impact_mixed	73	74	1	186	210	9774f2180f7ce354c17fcead7d3925fcfb069e8cc4a6676b4a30d932141e1e4f	e32b1a763a921a1551c1b4fa216f1c48d618bada289e36f2f042f2e0d07ebcbe
