feature_id	layer	condition	activation	rank	present_in_normal	present_in_dstroke	delta_from_normal_to_dstroke	abs_delta	source_file	notes
9030	14	normal_hum	0.13733050227165222	29	1	1	-0.027739852666854858	0.027739852666854858	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears in both conditions with higher activation in normal; feature shifts rank between normal rank 29 and d-stroke rank 47
9030	14	dstroke_hum	0.10959064960479736	47	1	1	-0.027739852666854858	0.027739852666854858	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears in both conditions with higher activation in normal; feature shifts rank between normal rank 29 and d-stroke rank 47
30172	14	normal_hum	0.12711578607559204	39	1	0	-0.12711578607559204	0.12711578607559204	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
30172	14	dstroke_hum	0		1	0	-0.12711578607559204	0.12711578607559204	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
12433	14	normal_hum	0.11901742219924927	46	1	0	-0.11901742219924927	0.11901742219924927	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
12433	14	dstroke_hum	0		1	0	-0.11901742219924927	0.11901742219924927	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
3291	14	normal_hum	0		0	1	0.1183885857462883	0.1183885857462883	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in d-stroke TopK-50
3291	14	dstroke_hum	0.1183885857462883	41	0	1	0.1183885857462883	0.1183885857462883	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in d-stroke TopK-50
28025	14	normal_hum	0.11595268547534943	47	1	0	-0.11595268547534943	0.11595268547534943	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
28025	14	dstroke_hum	0		1	0	-0.11595268547534943	0.11595268547534943	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
23977	26	normal_hum	0.19217467308044434	30	1	0	-0.19217467308044434	0.19217467308044434	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
23977	26	dstroke_hum	0		1	0	-0.19217467308044434	0.19217467308044434	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
7108	26	normal_hum	0.17277000844478607	43	1	0	-0.17277000844478607	0.17277000844478607	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
7108	26	dstroke_hum	0		1	0	-0.17277000844478607	0.17277000844478607	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
2722	26	normal_hum	0.183280348777771	35	1	0	-0.183280348777771	0.183280348777771	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
2722	26	dstroke_hum	0		1	0	-0.183280348777771	0.183280348777771	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
9745	26	normal_hum	0.17381246387958527	41	1	0	-0.17381246387958527	0.17381246387958527	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
9745	26	dstroke_hum	0		1	0	-0.17381246387958527	0.17381246387958527	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in normal TopK-50
31784	26	normal_hum	0		0	1	0.17004404962062836	0.17004404962062836	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in d-stroke TopK-50
31784	26	dstroke_hum	0.17004404962062836	40	0	1	0.17004404962062836	0.17004404962062836	/workspace/qwen-scope/5-11-26/smoke-runs/migration_validation_2x96gb/sae_outputs/feature_delta_topk50.tsv	feature appears only in d-stroke TopK-50
