perturbation_type	layer	mean_abs_delta	median_abs_delta	max_abs_delta	feature_delta_rows	mean_topk_jaccard	mean_jaccard_distance	comparison_count	rank_mean_abs_delta_within_layer	rank_jaccard_distance_within_layer
s_to_ş	14	0.14835124552293014	0.13149130344390864	1.0955259799957275	2074	0.22485142960021126	0.7751485703997888	25	1	1
e_to_ē	14	0.14827867641084116	0.13026196509599686	1.1853916645050049	2078	0.23032671333250104	0.7696732866674989	25	2	2
s_to_ṡ	14	0.1366021731752205	0.12332910299301145	1.491326093673706	1988	0.302900200349867	0.697099799650133	25	3	3
random_readable_unicode_control	14	0.12244204020231747	0.1124555021524429	1.348802089691162	1843	0.412163860518387	0.5878361394816131	25	4	4
d_to_ḑ	14	0.047136528162363835	0.0221138149499893	0.2854330539703369	1453	0.7240752653863274	0.2759247346136726	25	5	5
e_to_ē	26	0.21898353941190818	0.1958119869232177	1.7058534622192385	2081	0.2353985669242131	0.7646014330757869	25	1	2
s_to_ş	26	0.21866614536189893	0.1932540833950042	2.0964150428771973	2077	0.2251607627631611	0.7748392372368389	25	2	1
s_to_ṡ	26	0.20264512912311874	0.18019181489944455	2.540684223175049	1946	0.3405852889865803	0.6594147110134198	25	3	3
random_readable_unicode_control	26	0.18447851836035592	0.1748709455132484	2.2818753719329834	1846	0.41179556156088387	0.5882044384391161	25	4	4
d_to_ḑ	26	0.07343924808642245	0.0330421924591064	0.3622224330902099	1447	0.7309758489875068	0.26902415101249316	25	5	5
