prompt_id	category	feature_id	activation	rank
l26_seed_001	plain factual	2938	1.2629680633544922	1
l26_seed_001	plain factual	18937	0.6151381731033325	2
l26_seed_001	plain factual	5417	0.5532255172729492	3
l26_seed_001	plain factual	28724	0.44637584686279297	4
l26_seed_001	plain factual	14653	0.4454161524772644	5
l26_seed_001	plain factual	1626	0.4381563663482666	6
l26_seed_001	plain factual	19826	0.3737937808036804	7
l26_seed_001	plain factual	32307	0.3457971513271332	8
l26_seed_001	plain factual	19185	0.3454906940460205	9
l26_seed_001	plain factual	23797	0.3371638357639313	10
l26_seed_001	plain factual	8295	0.3139956593513489	11
l26_seed_001	plain factual	22350	0.31116026639938354	12
l26_seed_001	plain factual	9197	0.30963560938835144	13
l26_seed_001	plain factual	1	0.3002910315990448	14
l26_seed_001	plain factual	30081	0.2914190888404846	15
l26_seed_001	plain factual	21620	0.27879422903060913	16
l26_seed_001	plain factual	9234	0.2778937816619873	17
l26_seed_001	plain factual	3056	0.25351589918136597	18
l26_seed_001	plain factual	21231	0.23965942859649658	19
l26_seed_001	plain factual	1607	0.2391405999660492	20
l26_seed_001	plain factual	3699	0.23708495497703552	21
l26_seed_001	plain factual	14727	0.23496155440807343	22
l26_seed_001	plain factual	22661	0.23039895296096802	23
l26_seed_001	plain factual	4556	0.22760739922523499	24
l26_seed_001	plain factual	19163	0.21093980967998505	25
l26_seed_001	plain factual	20089	0.20912140607833862	26
l26_seed_001	plain factual	18403	0.20771214365959167	27
l26_seed_001	plain factual	32526	0.20449230074882507	28
l26_seed_001	plain factual	124	0.2036341428756714	29
l26_seed_001	plain factual	22780	0.20107576251029968	30
l26_seed_001	plain factual	28443	0.19839593768119812	31
l26_seed_001	plain factual	13441	0.19329023361206055	32
l26_seed_001	plain factual	6695	0.18975454568862915	33
l26_seed_001	plain factual	11135	0.18926045298576355	34
l26_seed_001	plain factual	14244	0.187677800655365	35
l26_seed_001	plain factual	7163	0.18734532594680786	36
l26_seed_001	plain factual	22013	0.18458138406276703	37
l26_seed_001	plain factual	6976	0.18076777458190918	38
l26_seed_001	plain factual	28713	0.173947274684906	39
l26_seed_001	plain factual	18310	0.16882963478565216	40
l26_seed_001	plain factual	9889	0.16787660121917725	41
l26_seed_001	plain factual	991	0.1592404842376709	42
l26_seed_001	plain factual	20575	0.1574932336807251	43
l26_seed_001	plain factual	17374	0.15514293313026428	44
l26_seed_001	plain factual	3676	0.15121552348136902	45
l26_seed_001	plain factual	14845	0.1472928375005722	46
l26_seed_001	plain factual	22266	0.13501186668872833	47
l26_seed_001	plain factual	366	0.13216878473758698	48
l26_seed_001	plain factual	2437	0.13090966641902924	49
l26_seed_001	plain factual	15605	0.12994951009750366	50
l26_seed_002	plain factual	5417	0.6392320394515991	1
l26_seed_002	plain factual	2938	0.5779876708984375	2
l26_seed_002	plain factual	21231	0.5651285648345947	3
l26_seed_002	plain factual	14653	0.5334407687187195	4
l26_seed_002	plain factual	12234	0.4895474910736084	5
l26_seed_002	plain factual	8295	0.48409634828567505	6
l26_seed_002	plain factual	13807	0.464602530002594	7
l26_seed_002	plain factual	19826	0.4510934054851532	8
l26_seed_002	plain factual	10690	0.42605745792388916	9
l26_seed_002	plain factual	3699	0.4124615788459778	10
l26_seed_002	plain factual	19185	0.41232842206954956	11
l26_seed_002	plain factual	17679	0.3742053806781769	12
l26_seed_002	plain factual	14858	0.35112035274505615	13
l26_seed_002	plain factual	12229	0.3175039291381836	14
l26_seed_002	plain factual	18937	0.28747713565826416	15
l26_seed_002	plain factual	30751	0.2743448317050934	16
l26_seed_002	plain factual	26397	0.2682596445083618	17
l26_seed_002	plain factual	1	0.24927544593811035	18
l26_seed_002	plain factual	14727	0.2379024177789688	19
l26_seed_002	plain factual	28724	0.23780374228954315	20
l26_seed_002	plain factual	32307	0.2354423701763153	21
l26_seed_002	plain factual	26069	0.23399904370307922	22
l26_seed_002	plain factual	16661	0.22898238897323608	23
l26_seed_002	plain factual	15438	0.22393184900283813	24
l26_seed_002	plain factual	24319	0.21274694800376892	25
l26_seed_002	plain factual	19163	0.19270293414592743	26
l26_seed_002	plain factual	2802	0.18931233882904053	27
l26_seed_002	plain factual	27229	0.1886545568704605	28
l26_seed_002	plain factual	1113	0.18673738837242126	29
